Latitude;Longitude
664015.803098;186310.716192
654746.481563;195497.939352
654701.453779;204731.909911
654657.815868;213965.374952
645395.038536;223156.924498
645354.748014;232390.481800
636096.545863;241585.682568
636059.523644;250819.499038
636023.851080;260052.794976
626771.799450;269252.348397
626739.296703;278485.998080
626708.123233;287719.184850
617461.820542;296923.122972
617433.718676;306156.758324
608191.411213;315364.093714
598951.187244;324574.115684
589712.878902;333786.562609
580476.649099;343001.506204
580456.361810;352238.485539
571223.571772;361456.794161
561992.484428;370677.519373
561976.409627;379916.043584
