intensity;direction
0.053383;224.024790
0.022724;228.990831
0.020495;229.168749
0.020533;232.246664
0.019852;235.894997
0.016488;227.974376
0.014024;225.642083
0.011639;227.029792
0.015848;221.953752
0.038296;226.462498
0.034047;231.168124
0.019453;230.133957
0.010485;228.068751
0.006693;217.834588
0.009773;221.635627
0.009668;217.614796
0.010161;215.415213
0.025754;223.233125
0.039838;231.510412
0.029233;234.964995
0.023742;228.354582
0.014989;227.899997
0.018633;236.782289
0.018619;235.737914
0.018418;229.671039
0.010284;222.930834
0.008977;214.956882
0.006894;223.450002
0.007739;228.644793
0.007350;230.288333
0.006070;227.716253
0.006264;216.798130
0.008000;232.653333
0.013902;240.778750
0.020884;239.920000
0.011545;234.106460
0.008355;214.468970
0.010260;210.157505
0.008642;221.363543
0.009019;225.047710
0.010966;222.062918
0.012232;222.305835
0.014563;229.695626
0.010838;233.182085
0.010690;235.527917
0.016915;236.982708
0.015263;233.552293
0.010368;231.737713
0.010464;223.071673
0.012140;208.010421
0.009950;215.065000
0.005991;223.252288
0.003695;231.152290
0.007705;226.935629
0.021532;206.981461
0.011886;212.737293
0.005959;223.986041
0.006232;237.237081
0.007411;235.512917
0.007164;231.952915
0.005731;231.631458
0.004598;231.748333
0.005922;231.690416
0.007069;230.560417
0.006018;225.172295
0.009511;212.343547
0.016575;210.770834
0.012142;213.779791
0.009045;221.210414
0.010265;230.334369
0.011927;223.183124
0.012250;215.286460
0.008245;217.021459
0.006746;225.432499
0.013559;204.872510
0.038436;190.324799
0.019347;202.359587
0.012758;215.484377
0.017561;218.433753
0.017980;214.320837
0.013265;215.811460
0.008300;215.972917
0.007174;212.817920
0.005420;209.851462
0.004804;212.652293
0.004570;228.562912
0.003578;234.463743
0.002035;243.637908
0.005571;243.542700
0.007833;230.008328
0.012381;230.282495
0.025896;227.328539
0.018648;228.882288
0.013280;234.115203
0.008052;229.022709
0.015080;225.596247
0.011476;236.581449
0.007824;246.428117
0.014074;229.569371
0.025486;224.241456
0.009689;235.201867
0.005820;243.748531
0.006870;238.132488
0.012172;253.731868
0.022894;250.926037
0.034581;228.054792
0.024502;220.688332
0.011106;232.613951
0.008436;229.294161
0.009014;247.653951
0.013268;253.755202
0.015421;235.296246
0.014746;230.716037
0.015510;228.116664
0.019825;236.282287
0.015223;233.826249
0.024846;224.147293
0.031842;224.058126
0.031076;231.623124
0.026427;224.149378
0.045185;218.907293
0.042813;224.743958
0.016512;228.186041
0.050631;213.259168
0.029537;219.890000
0.024935;225.533542
0.008357;235.319376
0.009346;238.582085
0.016053;231.608127
0.021314;217.798335
0.016532;222.896042
0.021514;249.995207
0.046367;238.938750
0.091208;231.596874
0.047964;227.390833
0.046889;223.099168
0.031029;227.150416
0.021469;229.490416
0.015542;229.667709
0.011883;233.466042
0.023341;241.291873
0.024423;239.640203
0.020400;231.447703
0.019484;245.289370
0.023103;241.393121
0.018955;234.429370
0.022165;223.611042
0.014173;238.172703
0.024609;250.178744
0.023532;244.534162
0.027445;243.796038
0.019217;254.581244
0.019871;247.877289
0.020130;236.023956
0.020557;241.513121
0.022711;241.245416
0.018530;237.574999
0.018052;242.415204
0.014911;239.918956
0.011106;233.798540
0.020268;233.877496
0.027413;240.944578
0.038917;249.249785
0.040919;248.553745
0.061546;241.512704
0.086959;232.371871
0.182786;224.308123
0.187310;224.605206
0.147015;225.036873
0.131516;227.927498
0.162463;224.873540
0.120234;223.943332
0.107772;224.731249
0.090407;225.248958
0.072822;227.178956
0.053520;227.282706
0.089587;222.284582
0.093645;221.197292
0.106234;217.700835
0.089024;222.170208
0.061593;228.387916
0.056652;226.540416
0.066239;223.420416
0.070885;220.812292
0.068419;221.837709
0.090535;219.848541
0.051862;225.334374
0.023400;226.703750
0.071524;225.220209
0.074547;225.150834
0.105928;223.940624
0.117930;234.822289
0.136741;237.200415
0.092154;239.955414
0.054344;244.071455
0.087841;231.752291
0.062874;226.743332
0.062019;233.644790
0.049682;241.402705
0.057863;238.521872
0.061916;230.423332
0.139999;224.403125
0.105553;225.764373
0.076157;232.457913
0.043539;232.978746
0.077030;218.623540
0.069519;222.664166
0.060421;225.427707
0.051884;230.974373
0.063000;227.521041
0.066656;230.978956
0.107688;228.003957
0.081605;230.713748
0.078522;229.421457
0.057469;227.872292
0.139717;221.743126
0.075950;222.476459
0.051952;222.649792
0.047515;224.588542
0.055983;220.746460
0.060611;217.997084
0.114048;221.245001
0.092611;220.938128
0.137734;217.674377
0.147901;220.429585
0.157901;220.322501
0.116994;221.522709
0.087301;224.140626
0.127244;219.513751
0.140539;223.003126
0.167495;224.364792
0.106296;226.854583
0.097826;226.494167
0.091592;225.813542
0.102919;224.880000
0.097760;224.433333
0.117877;224.184375
0.105349;222.211875
0.085802;225.691875
0.100550;226.202710
0.100538;225.460417
0.110181;224.909583
0.108683;222.833334
0.118153;222.156876
0.097839;221.387708
0.083204;224.395207
0.084823;228.170623
0.093476;228.249582
0.120988;229.608123
0.089254;229.965622
0.068359;225.207498
0.056427;224.283540
0.036996;223.900623
0.029066;225.210623
0.019912;229.757288
0.016949;236.969368
0.031872;227.269579
0.064394;220.176663
0.061110;217.032082
0.103699;217.631042
0.148349;224.864371
0.151603;227.186871
0.181176;221.462916
0.178120;218.388750
0.118298;221.447500
0.108334;226.140417
0.082790;229.023333
0.055892;229.216250
0.090887;225.331876
0.107310;227.736459
0.065763;228.393958
0.034437;232.494999
0.041022;246.757291
0.140589;231.773542
0.135633;225.001457
0.077169;225.903541
0.043942;228.892707
0.021915;231.022499
0.016405;234.051457
0.100080;230.328330
0.061934;235.295620
0.069762;236.729579
0.110225;231.764166
0.094346;232.625000
0.088241;233.139582
0.083762;232.393124
0.060180;230.881876
0.084967;226.752084
0.069686;224.337500
0.068013;222.458541
0.072220;222.340207
0.076947;226.928748
0.105872;226.903125
0.139886;227.028541
0.149969;225.236665
0.086924;227.899998
0.105212;222.339375
0.104600;220.491250
0.111609;224.254166
0.083988;228.736456
0.090071;225.916457
0.033323;244.460829
0.047151;246.610410
0.107663;234.421453
0.070902;232.363329
0.063577;229.977081
